,reviews,labels
39,"Good phone for a low cost. Everything transfered smoothly. I have T- Mobile and I'm in the USA. Good photos and videos. Smooth scrolling. Not too many crazy updates. I like the ability to remove most preinstalled apps as well. Battery life is great.
Downfalls are minimal. *Side on/off button is flush with the side and takes longer to locate.
*screenshot are rather difficult with the palm swipe. It takes quite a few tries, loosing what you want to screenshot happens often. As an older person I screenshot things I can't read so I can zoom in. I try to avoid that now.
*No sd card storage to remove or replace. I miss that, even though the phone has lots of available room. I use to save the sd cards for personal back up photos.
*Sim card slot looks as if it won't securely hold in the tray. Isn't a tight fit, but suprisingly it does work with some patience.
A month into use,
It's a good phone so far!",0
40,"Good screen. Phone has everything you need except for: Speed and good camera.
It's Slow. R---E---A----L-----L----------Y----------S--------L------------O--------------------------W.
Camera produces blurry photos indoors. It's SLOW, low res, and glitchy.
Video records with visual glitches. RAM shortage is palpable.
Apps take time to load. Switching between apps is a pain.
Inputs from your finger are missed 20% of the time.
Imagine being in a situation where you need to text your family, look up a thing or two online, and turn off your house AC. This will TAKE TIME. There is a palpable gap between every action-reaction. So, Great attempt, but the CPU should have been faster. It's too much of a compromise at any price, really, for 2024. The phone is good for users with lower than average knowledge of smartphones. It's visibly slower than any other phone you have touched. I do not recommend it, but I thank Samsung for the effort. A 50% faster CPU seems necessary. A faster camera as well. But $200 is unreal. So, do it if you have to, but don't do it :)",0
41,It works as expected. Used Sim card from old phone.,0
42,"The phone is really nice and screen is sharp. Works fast enough. Pictures I thought would be a little better quality but it does do alot of cool features. Slow motion, hyperlapse, professional ect.
I did buy a separate screen protector and case. Then realized I also needed to buy a new plug cause they only sent a charging cable with both ends being usb c and no usb a? That all my plugs have. With what I had it said it would take 69 hours to charge. That's why missing 1 star",0
43,"When it's good it is very good. This phone requires a restart every 2-3 days to keep it getting a signal. Apps were a bit weird for a while and found it was user error.
The screen is VERY sensitive to touch, and I hate to try and lower it. Just be aware it is real touchy.",1
44,"Got this to replace my A13 which I was happy with but broke the glass. The cost of this was just a bit more than having the glass replaced (from what I Googled I really don't know).. so rather than risk someone doing a bad job, this gave me a brand new phone and the battery life is crazy long!",0
45,"They just fit as needed. The case is a little thicker than I expected, so the phone feels thicker and wider than I'd hoped. Otherwise it's fine",1
46,"Slim, fast, good camera, just like most Samsung phones.",1
47,"Great phone. This phone has headphone jack which works perfectly and still has SD slot, which were my 2 main reasons for purchasing it. It works great on my network. I don't find it slow, however I have not owned a flagship phone since samsung removed SD slots. For the price it is worth giving it a try, I am glad I did.",1
48,"This is a pretty phone but it's slow it get late notifications and camera not great not good quality and it slow down alot ,also it freeze a little idk it's not great even the keyboard .",0
49,I like the finger print features and the screen size .,1
